step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1180.0,23,1077.0,18.25423728813559,5.651959083983993,22,1562.0,0.0668901856910853,22,1562.0
1185.0,24,1180.0,19.34426229508197,6.114531824306639,24,1641.0,0.12261712411947052,24,1641.0
1190.0,28,1276.0,20.918032786885245,5.3676102159247625,26,1701.0,0.05957342749463971,26,1701.0
1195.0,25,1372.0,21.77777777777778,5.847947528481474,24,1733.0,0.08807335593443094,24,1733.0
1200.0,23,1461.0,24.35,5.185367772027018,21,1814.0,0.04566475464064346,21,1814.0
1205.0,27,1587.0,28.854545454545455,5.1067909978636665,24,1917.0,0.08019641359880182,24,1917.0
1210.0,24,1660.0,30.74074074074074,5.909870932635654,24,1971.0,0.020299290307871233,24,1971.0
1215.0,23,1738.0,32.79245283018868,5.634561588432864,21,2000.0,0.07140697361894273,21,2000.0
1220.0,23,1848.0,34.867924528301884,5.1201975554215995,22,2079.0,0.06664681980286769,22,2079.0
1225.0,24,1953.0,37.55769230769231,5.545390369997687,23,2190.0,0.06825939555593362,23,2190.0
1230.0,26,2077.0,41.54,4.86803930271903,26,2318.0,8.208019206241588e-06,26,2318.0
1235.0,14,604.0,11.843137254901961,6.0597724642507655,13,1698.0,0.08704123469931348,13,1698.0
1240.0,6,71.0,1.392156862745098,9.058414845863101,5,513.0,0.2467722549549972,5,513.0
1245.0,9,105.0,2.142857142857143,8.748984182484037,8,444.0,0.06367791187101418,8,444.0
1250.0,18,183.0,3.9782608695652173,7.656253364273576,16,515.0,0.08128861520523754,16,515.0
1255.0,15,180.0,4.0,6.316609959972727,15,567.0,0.024809982880447768,15,567.0
1260.0,16,260.0,6.190476190476191,6.137210875050345,16,602.0,0.0345525122948969,16,602.0
1265.0,18,347.0,8.897435897435898,5.779320779911964,18,689.0,0.0490732379349059,18,689.0
1270.0,18,437.0,10.162790697674419,6.564241077283982,18,791.0,0.13739245913190376,18,791.0
1275.0,13,281.0,6.386363636363637,5.645181164695604,13,598.0,0.05558324988329685,13,598.0
1280.0,14,309.0,6.866666666666666,7.311705366765941,12,350.0,0.1906685424449988,12,350.0
1285.0,7,49.0,1.0425531914893618,8.287026430905607,4,239.0,0.14549378951149808,4,239.0
1290.0,10,42.0,1.0,7.488118753942561,8,192.0,0.06838680834851808,8,192.0
1295.0,6,49.0,1.1136363636363635,9.410158853606369,4,85.0,0.29630819056876745,4,85.0
1300.0,7,82.0,2.0,11.071021395894569,4,67.0,0.380602540009132,4,67.0
1305.0,3,29.0,0.7435897435897436,9.478251984028224,2,48.0,0.35632765863042065,2,48.0
1310.0,8,60.0,1.6216216216216217,7.773592333955367,6,59.0,0.07288951899299988,6,59.0
1315.0,9,54.0,1.35,8.34760394632338,7,70.0,0.17344170669627254,7,70.0
1320.0,8,84.0,2.210526315789474,8.168021348212177,7,89.0,0.09546431415238568,7,89.0
